@MeasurementDateGMT,@Value,SpeciesCode,SiteCode,SpeciesName,SiteName,SiteType,Latitude,Longitude
2025-11-07 00:00:00,39.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 01:00:00,42.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 02:00:00,44.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 03:00:00,39.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 04:00:00,38.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 05:00:00,29.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 06:00:00,24.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 07:00:00,17.2,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 08:00:00,18.6,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 09:00:00,32.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 10:00:00,32.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 11:00:00,35.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 12:00:00,31.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 13:00:00,34.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 14:00:00,51.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 15:00:00,51.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 16:00:00,48.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 17:00:00,42.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 18:00:00,39.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 19:00:00,36.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 20:00:00,31.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 21:00:00,24.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 22:00:00,22.0,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-07 23:00:00,29.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 00:00:00,36.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 01:00:00,48.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 02:00:00,46.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 03:00:00,46.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 04:00:00,44.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 05:00:00,47.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 06:00:00,49.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 07:00:00,41.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 08:00:00,41.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 09:00:00,42.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 10:00:00,38.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 11:00:00,32.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 12:00:00,36.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 13:00:00,43.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 14:00:00,35.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 15:00:00,41.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 16:00:00,36.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 17:00:00,32.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 18:00:00,19.4,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 19:00:00,14.6,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 20:00:00,1.8,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 21:00:00,4.2,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 22:00:00,3.0,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-08 23:00:00,9.2,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 00:00:00,10.4,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 01:00:00,12.2,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 02:00:00,21.0,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 03:00:00,20.8,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 04:00:00,21.4,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 05:00:00,20.2,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 06:00:00,13.2,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 07:00:00,18.0,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 08:00:00,22.8,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 09:00:00,30.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 10:00:00,44.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 11:00:00,51.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 12:00:00,53.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 13:00:00,50.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 14:00:00,52.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 15:00:00,51.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 16:00:00,48.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 17:00:00,43.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-09 18:00:00,44.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
