uri,uri_code,pollutant_name,pollutant_code,definition,status
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/33,33,Total volatile organic compounds (air),T-VOC,T-VOC - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/330,330,PCB_105 (precip),PCB-105,PCB-105 - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/333,333,PCB_128 (precip),PCB-128,PCB-128 - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/336,336,PCB_149 (precip),PCB-149,PCB-149 - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/339,339,PCB_156 (precip),PCB-156,PCB-156 - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/34,34,Peroxyacetyl nitrate (air),PAN,PAN - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/340,340,PCB_177 (precip),PCB-177,PCB-177 - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/341,341,PCB_18 (precip),PCB-18,PCB-18 - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/344,344,PCB_26 (precip),PCB-26,PCB-26 - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/347,347,PCB_31 (precip),PCB-31,PCB-31 - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/348,348,PCB_44 (precip),PCB-44,PCB-44 - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/35,35,Ammonia (air),NH3,NH3 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/351,351,acenaphthene (air+aerosol),Acenaphthene,Acenaphthene - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/352,352,acenaphtylene (air+aerosol),Acenaphtylene,Acenaphtylene - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/356,356,aldrin (precip),Aldrin,Aldrin - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/36,36,Wet nitrogen deposition (flux),N-DEP,N-DEP - recommended unit: mg N/m2.m,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3631,3631,chloride in TSP (aerosol),Cl- in TSP,Cl- in TSP - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/364,364,anthanthrene (air+aerosol),Anthanthrene,Anthanthrene - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/3668,3668,sodium in TSP (aerosol),Na+  in TSP,Na+ in TSP - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/37,37,Wet sulphur deposition (flux),S-DEP,S-DEP - recommended unit: mg S/m2.m,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/372,372,Benzenecarbaldehyde (air),Benzaldehyde,Benzaldehyde - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/373,373,Benzo(a)fluoranthene (air+aerosol),Benzo(a)fluoranthene,Benzo(a)fluoranthene - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/374,374,Tolualdehyde (air),C8H8O,C8H8O - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38,38,Nitrogen monoxide (air),NO,NO - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/380,380,Benzo(b+j+k)fluoranthenes (air+aerosol),Benzo(b+j+k)fluoranthenes,Benzo(b+j+k)fluoranthenes - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/381,381,Benzo(e)pyrene (air+aerosol),Benzo(e)pyrene,Benzo(e)pyrene - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/382,382,Benzo(k+j)fluoranthene (air+aerosol),Benzo(k+j)fluoranthene,Benzo(k+j)fluoranthene (air+aerosol) - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/39,39,Hydrogen chloride (air),HCl,HCl - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/390,390,biphenyl (air+aerosol),Biphenyl,Biphenyl - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/391,391,black_carbon (aerosol),Black Carbon,Black Carbon - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/393,393,butanales (air),Butanales,Butanales - recommended unit: µg/m3,valid
